-3,83,7,44,61,-75,-31,-57,-196
28,95,17,13,36,-81,-107,-40,-131
35,79,65,5,56,-97,-112,4,-70
31,114,100,5,56,-97,-49,22,-22
31,114,100,-31,85,-37,-49,22,-22
77,114,85,-5,65,-20,-63,-8,-13
50,117,82,21,83,46,-57,-35,-23
50,117,82,21,83,46,-57,-35,-23
40,85,41,12,86,54,-67,-55,-16
37,67,25,-11,64,69,-87,-31,7
37,67,25,-11,64,69,-87,-31,7
39,64,-21,-42,44,40,12,-24,-3
36,62,-64,-31,54,22,13,-22,-16
46,66,-79,2,62,0,-15,-25,-41
46,66,-79,2,62,0,-15,-25,-41
48,85,-45,-33,66,-11,16,-34,-58
38,94,-19,-8,73,-13,-24,-56,-66
38,94,-19,-8,73,-13,-24,-56,-66
45,104,26,-8,91,-6,-17,-82,-79
36,77,42,-29,86,-19,-21,-68,-69
48,77,51,-36,81,-1,-33,-74,-66
48,77,51,-36,81,-1,-33,-74,-66
34,70,53,-32,61,-11,-6,-80,-71
25,67,51,-12,59,17,-7,-82,-74
25,67,51,-12,59,17,-7,-82,-74
39,52,6,-3,64,32,-6,-115,-77
38,49,-31,-44,47,19,-25,-89,-86
13,65,-62,-44,47,19,-58,-40,-91
13,65,-62,3,37,-27,-58,-40,-91
19,74,-18,-16,43,-57,-78,-9,-69
55,42,46,-6,86,-38,-50,34,-26
55,42,46,-6,86,-38,-50,34,-26
75,71,47,-16,103,-35,-44,60,-1
23,101,24,-9,97,0,-89,36,-4
23,101,24,-9,97,0,-141,40,-1
29,113,20,9,108,-9,-141,40,-1
33,78,50,-23,61,9,-32,38,8
33,76,52,-27,47,11,3,32,21
33,76,52,-27,47,11,3,32,21
53,68,38,-4,10,25,20,57,40
38,62,16,3,2,23,81,61,45
38,62,16,3,2,23,81,61,45
62,39,0,13,-1,30,8,81,44
60,29,-23,-21,0,24,3,78,33
22,31,-11,-48,30,17,-15,54,6
22,31,-11,-48,30,17,-15,54,6
25,28,4,-17,40,21,-30,34,-13
-8,-53,145,-26,105,97,29,6,-43
-8,-53,145,-26,105,97,29,6,-43
-27,-393,579,-43,343,316,18,2,-95
74,-108,1425,-36,295,794,-60,33,-121
231,878,3183,-36,295,794,-139,-26,-103
231,878,3183,-227,-674,2551,-139,-26,-103
710,853,4505,-122,-1035,4103,209,-22,-171
657,2402,5577,-274,-2097,5436,806,-47,-288
657,2402,5577,-274,-2097,5436,806,-47,-288
653,4068,6278,-692,-3141,6044,1114,24,-357
917,4268,6127,-1016,-3913,6117,1066,270,-349
917,4268,6127,-1016,-3913,6117,907,531,-271
1673,4914,5920,-1276,-4261,6489,907,531,-271
2160,5479,5229,-626,-4359,6594,921,490,-189
3162,5739,4418,513,-4446,6486,1077,291,-183
3162,5739,4418,513,-4446,6486,1077,291,-183
4485,6725,2598,1553,-5299,6266,1222,250,-147
5655,6639,1050,2436,-6643,6066,1022,58,-131
5655,6639,1050,2436,-6643,6066,1022,58,-131
6019,5548,-845,2247,-6279,5624,868,-469,-239
5376,2892,-1113,2153,-4258,4110,495,-791,-164
5017,-895,-1042,3086,-408,1964,460,-1112,-80
5017,-895,-1042,3086,-408,1964,460,-1112,-80
4829,-5126,-288,4242,3475,235,779,-1718,-177
5171,-11239,-303,6007,7639,-1957,1010,-2159,-311
5171,-11239,-303,6007,7639,-1957,1010,-2159,-311
5869,-15430,172,8180,11243,-3957,933,-2031,-236
6740,-16691,-344,9052,12194,-4081,476,-1232,-113
7249,-14107,-788,9681,10591,-3265,-2,-251,-68
7249,-14107,-788,9681,10591,-3265,-2,-251,-68
7482,-10101,-1589,9824,7997,-2652,-311,407,55
7596,-5723,-2217,9700,4962,-2091,-389,566,23
7596,-5723,-2217,9700,4962,-2091,-389,566,23
6846,-2518,-1935,8935,1629,-1161,-175,476,-193
5996,1879,-1383,7552,-1064,1258,-293,855,-107
5840,6692,71,6030,-4057,4485,-530,960,-37
5840,6692,71,6030,-4057,4485,-530,960,-37
8252,8799,443,6284,-6021,6506,-1159,676,51
10939,10955,2022,8496,-7102,8855,-690,-375,-251
10939,10955,2022,8496,-7102,8855,-690,-375,-251
13494,12195,2337,10238,-8028,10744,70,-696,-386
15088,13656,2588,10884,-9085,13316,10,-154,-248
