1	-2	6	0
2	-13	-20	-18
3	-57	4	-16
1	-12	34	-4
2	-23	-43	-20
3	-15	-12	-25
1	-12	34	-4
2	-23	-43	-20
3	-15	-12	-25
1	-4	11	3
2	-16	-24	-2
3	-71	2	-26
1	-4	11	3
2	-16	-24	-2
3	-71	2	-26
1	-13	19	-3
2	-20	-14	-5
3	-52	12	-30
1	-13	19	-3
2	-20	-14	-5
3	-52	12	-30
1	-5	-4	-2
2	-12	-20	-1
3	-25	12	-37
1	-5	-4	-2
2	-12	-20	-1
3	-25	12	-37
1	0	-21	6
2	-8	-6	-7
3	-39	14	-32
1	0	-21	6
2	-8	-6	-7
3	-39	14	-32
1	11	-26	19
2	-14	2	-11
3	-27	4	-29
1	11	-26	19
2	-14	2	-11
3	-27	4	-29
1	-6	-6	-7
2	-14	2	-11
3	-20	3	-29
1	-6	-6	-7
2	-8	-5	13
3	-20	3	-29
1	-6	-6	-7
2	-8	-5	13
3	-20	3	-29
1	0	11	11
2	-10	-14	-5
3	-15	-2	-30
1	0	11	11
2	-10	-14	-5
3	-15	-2	-30
1	18	5	-11
2	17	-37	-37
3	-58	-10	-28
1	18	5	-11
2	17	-37	-37
3	-58	-10	-28
1	33	78	-34
2	25	-16	-86
3	-62	-6	-25
1	33	78	-34
2	25	-16	-86
3	-62	-6	-25
1	67	130	-77
2	55	-53	-48
3	-73	80	-26
1	67	130	-77
2	55	-53	-48
3	-73	80	-26
1	274	24	-226
2	293	-83	-152
3	-321	120	-14
1	274	24	-226
2	293	-83	-152
3	-321	120	-14
1	482	125	-368
2	543	-109	-427
3	-553	74	39
1	482	125	-368
2	543	-109	-427
3	-553	74	39
1	247	399	-329
2	222	-244	-502
3	-247	-33	-14
1	247	399	-329
2	222	-244	-502
3	-247	-33	-14
1	-205	194	20
2	-216	142	82
3	85	-85	-140
1	-205	194	20
2	-216	142	82
3	85	-85	-140
1	-205	194	20
2	-216	142	82
3	85	-85	-140
1	-500	-537	561
2	-740	278	693
3	-240	59	7
1	-500	-537	561
2	-740	278	693
3	-240	59	7
1	-1596	-580	911
2	-1709	94	835
3	361	70	-55
1	-1596	-580	911
2	-1709	94	835
3	361	70	-55
1	-1959	-728	1607
2	-2161	184	907
3	717	114	-26
1	-1959	-728	1607
2	-2161	184	907
3	717	114	-26
1	-870	-894	1267
2	-1097	402	665
3	711	51	91
1	-870	-894	1267
2	-1097	402	665
3	711	51	91
1	752	-206	-637
2	907	511	-212
3	-590	75	87
1	752	-206	-637
2	907	511	-212
3	-590	75	87
1	1301	911	-1676
2	1606	-274	-1358
3	-2406	605	281
1	1301	911	-1676
2	1606	-274	-1358
3	-2406	605	281
1	1189	1158	-1580
2	1726	-761	-1032
3	-2368	713	232
1	1189	1158	-1580
2	1726	-761	-1032
3	-2368	713	232
1	1484	598	-989
2	1815	-391	-714
3	-1143	731	239
1	1484	598	-989
2	1815	-391	-714
3	-1143	731	239
1	1294	671	-1257
2	1815	-391	-714
3	772	158	107
1	1294	671	-1257
2	1715	-697	-907
3	772	158	107
1	1294	671	-1257
2	1715	-697	-907
3	772	158	107
1	659	220	-1073
2	727	-63	-794
3	1385	2	-15
1	659	220	-1073
2	727	-63	-794
3	1385	2	-15
1	-1274	-628	644
2	-1504	-292	762
3	2397	239	-358
1	-1274	-628	644
2	-1504	-292	762
3	2397	239	-358
1	-2989	-1180	3192
2	-3474	217	1836
3	1802	-811	-124
1	-2989	-1180	3192
2	-3474	217	1836
3	1802	-811	-124
1	-2542	-619	1945
2	-2809	455	1406
3	-1353	832	339
1	-2542	-619	1945
2	-2809	455	1406
3	-1353	832	339
1	-730	-736	-198
2	-824	739	259
3	32	93	226
1	-730	-736	-198
2	-824	739	259
3	32	93	226
1	1130	461	-957
2	1286	168	-582
3	331	-816	62
1	1130	461	-957
2	1286	168	-582
3	331	-816	62
1	1334	767	-1757
2	1621	128	-1536
3	-2724	650	308
1	1334	767	-1757
