85,-28,32,52,18,104,411,-129,-82
88,-24,0,47,3,95,346,-97,-72
95,-6,-36,40,-7,75,299,-71,-63
109,-20,-47,40,-7,75,268,-59,-50
109,-20,-47,27,-31,65,268,-59,-50
93,-45,-12,37,-34,61,268,-86,-37
75,-76,9,7,-30,75,283,-103,-42
75,-76,9,7,-30,75,283,-103,-42
111,-94,19,19,-22,64,314,-105,-53
93,-77,17,26,-3,96,294,-118,-46
93,-77,17,26,-3,96,294,-118,-46
119,-100,37,21,12,115,245,-121,-38
123,-110,72,38,45,142,270,-132,-61
120,-87,75,22,2,129,210,-121,-80
120,-87,75,22,2,129,210,-121,-80
116,-50,57,18,-5,126,91,-95,-81
132,-27,26,35,-9,103,48,-66,-84
132,-27,26,35,-9,103,48,-66,-84
120,-28,15,33,-13,84,-8,-33,-85
108,-9,-2,19,-27,81,-67,-2,-88
97,0,-18,34,-19,91,-58,18,-94
97,0,-18,34,-19,91,-58,18,-94
81,-42,-16,35,-13,91,-82,20,-94
81,-76,12,37,5,110,-80,10,-86
81,-76,12,37,5,110,-80,10,-86
91,-109,43,28,-16,157,-63,40,-75
137,-131,78,34,-17,155,-122,75,-70
133,-128,93,34,-17,155,-246,84,-50
133,-128,93,64,-16,137,-246,84,-50
123,-45,61,58,-59,67,-341,116,-53
31,45,51,-52,-86,100,-227,70,-73
31,45,51,-52,-86,100,-227,70,-73
60,70,32,-6,-50,130,-116,1,-66
118,-26,60,68,89,148,-61,-34,-47
118,-26,60,68,89,148,36,-31,-51
137,-94,86,23,119,181,36,-31,-51
138,-73,61,23,45,164,-45,-22,-54
81,-34,29,26,29,110,-139,20,-59
81,-34,29,26,29,110,-139,20,-59
69,-38,0,39,-8,78,-225,54,-53
91,-38,-10,20,-51,85,-295,47,-48
91,-38,-10,20,-51,85,-295,47,-48
102,-31,-3,8,-83,70,-322,96,-66
117,-39,14,-13,-98,63,-332,145,-92
122,-38,31,7,-68,57,-355,154,-114
122,-38,31,7,-68,57,-355,154,-114
108,-14,44,40,-39,56,-381,164,-114
97,-16,53,13,-2,76,-348,233,-106
97,-16,53,13,-2,76,-348,233,-106
105,-25,73,4,34,119,-247,251,-105
93,-25,40,34,30,122,-232,182,-106
79,-47,35,34,30,122,-223,174,-99
79,-47,35,43,33,126,-223,174,-99
75,-45,5,56,21,146,-235,117,-102
67,-40,-17,26,-24,149,-187,73,-95
67,-40,-17,26,-24,149,-187,73,-95
53,-14,-70,30,-27,152,-196,94,-110
89,23,-109,10,-11,108,-295,77,-133
89,23,-109,10,-11,108,-314,56,-160
65,31,-109,12,43,89,-314,56,-160
44,47,-90,27,87,81,-338,0,-178
50,60,-106,9,94,79,-389,-79,-172
50,60,-106,9,94,79,-389,-79,-172
61,57,-121,1,72,98,-381,-44,-168
76,45,-146,-21,75,76,-343,18,-199
76,45,-146,-21,75,76,-395,36,-207
72,47,-129,-10,70,34,-395,36,-207
38,36,-68,0,84,-13,-414,99,-187
-11,22,-8,-29,64,-37,-440,198,-148
-11,22,-8,-29,64,-37,-440,198,-148
13,0,7,-15,31,-54,-507,179,-113
24,-25,-1,10,29,-55,-461,83,-66
24,-25,-1,10,29,-55,-461,83,-66
-26,-44,-24,16,49,4,-474,40,11
-21,-44,-57,33,45,54,-533,-37,91
-4,-53,-125,33,45,54,-490,-53,155
-4,-53,-125,49,50,95,-490,-53,155
36,-24,-203,5,63,100,-409,76,182
31,-6,-252,-24,104,72,-448,118,178
31,-6,-252,-24,104,72,-448,118,178
1,42,-252,-15,169,20,-404,101,120
-57,68,-231,-52,209,-51,-279,118,74
-57,68,-231,-52,209,-51,-206,151,49
-91,90,-211,-111,134,-79,-206,151,49
-54,88,-217,-113,50,-133,-107,193,-12
-23,59,-219,-86,70,-132,-57,146,-98
-23,59,-219,-86,70,-132,-57,146,-98
-1,-6,-192,-42,72,-90,-136,41,-137
13,-41,-156,-37,92,-22,-96,-25,-169
13,-41,-156,-37,92,-22,-57,31,-196
-5,-62,-146,-70,99,45,-57,31,-196
-4,-84,-155,-48,81,49,-51,-25,-205
13,-55,-170,-17,103,57,26,-75,-218
13,-55,-170,-17,103,57,26,-75,-218
15,-50,-215,-22,96,7,52,-54,-201
-62,-27,-188,-20,90,-51,53,-71,-176
-62,-27,-188,-20,90,-51,69,-200,-158
-86,-29,-164,0,78,-99,69,-200,-158
-76,-40,-171,29,64,-104,231,-299,-117
-75,-9,-230,29,64,-104,280,-364,-64
-75,-9,-230,-23,80,-46,280,-364,-64
-51,25,-267,-39,107,4,310,-446,-12
-50,22,-254,-31,161,42,370,-520,20
-50,22,-254,-31,161,42,370,-520,20
-39,6,-237,-32,199,21,419,-522,26
-38,1,-172,-72,193,-30,375,-450,20
-38,1,-172,-72,193,-30,390,-363,-19
-19,52,-117,-115,165,-50,390,-363,-19
-17,69,-72,-133,145,-37,402,-339,-81
-2,82,-24,-113,170,-4,331,-220,-123
-2,82,-24,-113,170,-4,331,-220,-123
