-40,30,-28,-1,29,0,-54,-10,-130
-31,-3,-45,11,36,-17,-61,-2,-108
-27,-23,-31,-13,10,-12,-61,-3,-98
-64,-8,-26,-13,10,-12,-27,-26,-92
-64,-8,-26,-39,-7,-7,-27,-26,-92
-41,-17,-38,-23,-26,-52,-39,-10,-87
-48,-15,-54,3,-22,-69,-22,7,-73
-48,-15,-54,3,-22,-69,-22,7,-73
-49,0,-51,-11,-15,-69,-54,-12,-58
-47,2,-50,-9,-14,-65,-38,-14,-38
-47,2,-50,-9,-14,-65,-38,-14,-38
-47,26,-79,-33,-11,-60,-22,12,-31
-26,22,-96,-14,8,-78,-112,-9,-31
-1,25,-125,9,17,-63,-122,-7,-35
-1,25,-125,9,17,-63,-122,-7,-35
-11,24,-112,-22,57,-47,-138,51,-33
198,-26,-139,231,95,-116,-422,20,-29
198,-26,-139,231,95,-116,-422,20,-29
626,-45,-322,684,45,-313,-777,-265,-47
781,-79,-407,1129,147,-505,-979,-671,106
1682,-238,-599,1129,147,-505,-2059,-725,240
1682,-238,-599,2256,617,-531,-2059,-725,240
2207,-288,-875,2248,513,-165,-1676,-223,-32
618,-451,-384,-180,413,93,-524,999,-2
618,-451,-384,-180,413,93,-524,999,-2
-1009,-702,740,-1881,474,-174,-947,1141,111
-3518,68,1209,-3822,45,154,412,-473,-81
-6941,1076,1228,-3822,45,154,1504,889,-29
-6941,1076,1228,-6492,-39,903,1504,889,-29
-8154,1035,1572,-8007,656,1551,1368,826,-273
-5181,289,2014,-5887,586,1714,1849,719,-607
-5181,289,2014,-5887,586,1714,1849,719,-607
502,0,126,677,816,1672,783,490,-969
5634,-339,-1472,6416,1258,-97,-387,-888,-997
5634,-339,-1472,6416,1258,-97,650,-1071,-756
8050,-1109,-2351,8659,548,-2016,650,-1071,-756
7613,-813,-2357,8210,-460,-2535,993,-698,-449
6664,-72,-2632,7340,-1266,-2475,997,-930,-232
6664,-72,-2632,7340,-1266,-2475,997,-930,-232
5085,40,-2528,5432,-780,-1818,1948,-706,-237
-1715,-95,395,-3431,284,513,2071,-20,-361
-1715,-95,395,-3431,284,513,2071,-20,-361
-10861,891,3329,-11780,1171,1225,-466,1013,173
-12793,477,3495,-11858,2945,2053,-2532,-1103,794
-8186,859,2872,-11858,2945,2053,111,845,262
-8186,859,2872,-8926,1446,1854,111,845,262
