1	0	-24	-2
2	11	78	-19
3	-7	-82	-24
1	4	2	24
2	9	42	5
3	8	-85	-33
1	4	2	24
2	9	42	5
3	8	-85	-33
1	-8	25	43
2	-3	13	-17
3	-20	-67	-39
1	-8	25	43
2	-3	13	-17
3	-20	-67	-39
1	-14	40	35
2	5	12	-4
3	-3	-46	-40
1	-14	40	35
2	5	12	-4
3	-3	-46	-40
1	-11	30	8
2	4	-9	16
3	24	-39	-29
1	-11	30	8
2	4	-9	16
3	24	-39	-29
1	-12	10	4
2	5	-11	45
3	41	-37	-31
1	-12	10	4
2	5	-11	45
3	41	-37	-31
1	-20	34	20
2	6	-37	37
3	13	-54	-40
1	-20	34	20
2	6	-37	37
3	13	-54	-40
1	-26	44	10
2	6	-37	37
3	-28	-64	-42
1	-26	44	10
2	8	-19	31
3	-28	-64	-42
1	-26	44	10
2	8	-19	31
3	-28	-64	-42
1	-40	64	19
2	0	1	34
3	-27	-82	-48
1	-40	64	19
2	0	1	34
3	-27	-82	-48
1	-27	69	45
2	7	48	-8
3	-19	-112	-54
1	-27	69	45
2	7	48	-8
3	-19	-112	-54
1	-29	78	33
2	6	51	-24
3	-41	-106	-47
1	-29	78	33
2	6	51	-24
3	-41	-106	-47
1	-15	44	18
2	0	34	10
3	-53	-71	-37
1	-15	44	18
2	0	34	10
3	-53	-71	-37
1	4	-10	12
2	13	1	48
3	-54	-37	-35
1	4	-10	12
2	13	1	48
3	-54	-37	-35
1	17	-44	11
2	10	-27	31
3	-9	-52	-39
1	17	-44	11
2	10	-27	31
3	-9	-52	-39
1	9	-11	39
2	0	-53	23
3	-26	-61	-34
1	9	-11	39
2	0	-53	23
3	-26	-61	-34
1	-24	42	49
2	0	-53	23
3	-32	-55	-25
1	-24	42	49
2	2	-31	54
3	-32	-55	-25
1	-24	42	49
2	2	-31	54
3	-10	-54	-12
1	-13	36	25
2	5	-18	20
3	-10	-54	-12
1	-13	36	25
2	5	-18	20
3	-10	-54	-12
1	-35	60	24
2	-5	6	8
3	33	-46	-9
1	-35	60	24
2	-5	6	8
3	33	-46	-9
1	-34	38	14
2	0	32	18
3	43	-35	-5
1	-34	38	14
2	0	32	18
3	43	-35	-5
1	-25	24	2
2	-1	33	-13
3	40	-23	-3
1	-25	24	2
2	-1	33	-13
3	40	-23	-3
1	-32	24	0
2	0	0	9
3	66	-15	-3
1	-32	24	0
2	0	0	9
3	66	-15	-3
1	-6	-5	23
2	5	7	7
3	45	-21	8
1	-6	-5	23
2	5	7	7
