acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
1847,-3088,603,1375,125,-2728,-98,-418,528,263,-66
1929,-2414,469,1216,123,-3214,65,-1,-19,263,-16
2094,-1824,447,1287,-141,-3485,203,289,-857,263,33
2143,-952,249,1548,-965,-2878,-142,94,-1070,263,83
2552,984,-1263,1993,-1103,-1568,-319,-307,-1137,263,133
1897,507,-2235,2438,-653,-870,108,-358,-1149,263,-136
1266,281,-3154,2222,352,-568,284,-249,-1140,263,-86
850,195,-3706,2233,1138,-546,-32,470,-1045,263,-36
1293,925,-2842,1734,2210,1278,-134,828,-733,263,13
1172,305,-2768,1802,2325,1471,-124,395,-438,263,63
1082,-74,-2757,1977,1812,1069,43,-60,-41,263,113
1266,510,-2859,2200,1555,968,83,-133,664,263,-157
1351,777,-2774,2540,921,437,48,-168,875,263,-107
1847,1452,-2100,2756,194,-641,-52,-256,900,263,-57
2126,1037,-1451,2735,-102,-1326,-58,-249,858,263,-7
2129,303,-1086,2736,-271,-2120,66,-378,751,263,42
2213,-593,-600,2894,-799,-2557,336,-356,247,263,92
2838,204,-155,2531,-175,-1650,216,-46,-55,263,142
2513,251,-335,2234,220,-1104,54,60,-210,263,-127
1864,-228,-471,1718,367,-595,-335,198,-194,263,-77
1265,154,-329,1217,-224,-539,-342,-210,-301,263,-27
403,974,-115,650,-1067,-264,-226,-12,-41,263,22
-763,1589,121,-447,-1163,-138,-397,125,-35,263,72
-856,1263,227,-623,-1201,-99,-694,130,-15,263,122
-303,809,239,77,-1137,208,-753,57,89,263,-147
237,377,-21,557,-811,45,-80,274,95,263,-97
67,253,-133,-41,-348,170,636,148,-19,263,-47
-522,1323,619,-35,-1731,860,751,-77,-23,263,2
-1167,2004,607,-642,-1962,634,944,-663,-235,263,52
-973,1616,198,-417,-1451,144,-7,-326,115,263,102
-126,232,-371,455,-296,-334,71,-36,53,263,152
1526,-1030,-495,1473,1330,-450,218,305,7,263,-117
2762,602,-164,2264,650,-213,227,213,-91,263,-67
3251,1641,15,2604,127,-1063,46,88,143,263,-17
2948,1128,102,2493,-129,-1898,-139,203,787,263,32
2735,26,143,1630,20,-2819,13,-1,1036,263,82
2395,-900,19,1345,183,-2993,104,-276,1061,263,132
2160,-2016,510,1465,-411,-2961,186,-274,669,263,-138
2236,-2353,858,1609,-455,-2843,-42,-10,55,263,-88
2270,-1900,773,1603,-541,-3009,-174,136,-391,263,-38
2289,-903,-55,1836,-857,-2801,-73,-55,-929,263,11
2221,203,-1163,2343,-1247,-2128,-5,-225,-1131,263,61
1958,701,-2152,2242,-881,-1486,-101,-561,-1277,263,111
1410,751,-3284,2219,87,-1097,-20,-238,-1041,263,-158
919,718,-3630,2223,1154,-478,28,477,-694,263,-108
1466,1375,-2448,1809,2390,1165,-52,718,-427,263,-58
1350,797,-2235,2055,2383,1510,-163,316,-286,263,-8
1203,595,-2421,2275,1700,898,80,-167,88,263,41
1270,1150,-2624,2224,1447,491,117,-118,449,263,91
1506,1646,-2341,2475,431,-696,75,-111,626,263,141
1762,1227,-1784,2753,-210,-1522,-92,27,711,263,-128
1910,-8,-1224,3031,-1165,-1940,-42,-42,535,263,-78
2317,-527,-609,2966,-1143,-1714,114,-81,252,263,-28
2561,-66,-280,2313,96,-1010,101,5,22,263,21
1847,-323,-552,1864,447,-778,27,102,-51,263,71
1283,108,-336,1340,162,-610,-134,48,-95,263,121
501,916,-3,759,-560,-580,-264,-79,-109,263,-149
-380,1566,312,104,-1331,6,-474,16,0,263,-99
-475,1130,255,-436,-1023,333,-434,-173,-8,263,-49
-93,1269,438,212,-1395,705,-300,-405,-39,263,0
185,385,-68,438,-761,-79,-285,65,59,263,50
-132,-108,-74,103,-487,-423,503,117,-105,263,100
-203,562,472,88,-1292,600,574,-8,-101,263,150
-680,1882,586,-227,-1796,501,1026,-270,-137,263,-119
-541,1571,-31,-163,-1729,159,-20,50,138,263,-69
389,1008,-188,640,-1268,-385,218,73,123,263,-19
1237,84,-517,980,199,-612,70,81,22,263,30
1795,-674,-558,1901,1529,-439,152,262,-59,263,80
2881,35,-313,2918,474,-232,324,163,-92,263,130
3166,722,-243,3166,-42,-366,-61,-172,-20,263,-139
3241,1015,-231,2242,543,-822,-61,-256,18,263,-89
3361,957,-14,1967,713,-1508,-191,283,550,263,-39
3072,-173,79,1197,-2,-3487,-208,433,841,263,10
2433,-853,-165,540,124,-4012,-315,155,989,263,60
1847,-2081,391,1084,-530,-3378,-24,-464,511,263,110
1967,-3193,1172,1222,-472,-2859,-55,-78,171,263,160
1888,-2419,802,1184,-501,-3003,-103,294,-190,263,-110
1887,-1408,-333,1256,-1029,-3103,28,203,-857,263,-60
2141,397,-1182,1714,-1271,-2271,70,-307,-1284,263,-10
1923,825,-2204,2220,-1002,-1091,96,-522,-1322,263,39
1162,771,-3151,2347,-250,-180,58,-544,-1112,263,89
185,310,-3711,2240,996,-343,-187,9,-939,263,139
516,1035,-3045,1574,1872,-566,-235,414,-786,263,-130
1362,1661,-1879,1193,3401,1126,-143,709,-303,263,-80
994,1244,-2405,1579,2908,1458,-14,-56,35,263,-30
1008,1921,-2783,2300,1049,97,133,-218,488,263,19
1062,2052,-1605,2623,317,-700,98,-29,795,263,69
1323,978,-1459,2649,-143,-1785,-55,105,979,263,119
1828,-282,-1381,2636,-510,-2307,376,-74,843,263,-150
2306,-564,-366,3106,-1393,-1940,252,-203,424,263,-100
1865,-204,-344,2006,338,-836,54,-231,-31,263,-50
1378,-83,-624,1393,625,-762,-85,-114,-292,263,0
650,357,-576,726,247,-594,-426,-113,-281,263,49
-917,1678,-122,-627,-1083,-205,-531,-150,-41,263,99
-1647,2114,193,-1542,-1915,941,-1015,-330,32,263,149
26,1622,618,825,-2131,1408,-1222,-151,378,263,-121
575,958,529,720,-582,756,-8,538,191,263,-71
-338,1332,852,-227,-1491,1454,1310,295,33,263,-21
-1566,2563,1141,-1497,-2307,1228,1084,-403,-226,263,28
-1170,730,-394,-742,-614,-292,-62,-416,19,263,78
413,-928,-773,485,915,-540,377,40,61,263,128
2074,-505,-332,1226,1386,-382,382,150,361,263,-141
3378,1735,544,1319,1175,-1222,463,704,605,263,-91
2973,1574,589,313,328,-2918,58,1056,938,263,-41
2116,-475,-151,-1128,194,-3741,37,581,1126,263,8
1778,-1750,-653,-570,-792,-3737,361,-257,683,263,58
1816,-3621,46,588,-1471,-2530,148,-1155,430,263,108
2154,-3337,338,352,-610,-1906,-78,-532,12,263,158
2413,-1477,-189,297,-852,-2310,-761,-61,-549,263,-111
2450,-1088,-491,756,-1647,-1947,-804,-227,-1238,263,-61
2178,-356,-1189,1066,-1992,-1318,-277,-166,-1604,263,-11
1318,649,-1961,1408,-1763,-532,17,-159,-1178,263,38
134,1039,-2871,1823,-356,-345,-229,-165,-927,263,88
-1118,727,-3613,2044,565,-826,-320,-15,-932,263,138
-216,1908,-2801,1383,1636,-1018,-221,522,-726,263,-132
696,2088,-1810,1247,3844,392,-156,1058,-259,263,-82
292,1002,-1696,1860,2983,856,67,1,70,263,-32
212,511,-1897,2535,1201,-18,278,-558,406,263,17
620,824,-1380,2345,581,-539,119,-538,616,263,67
889,876,-929,2044,-6,-908,-219,-220,611,263,117
996,573,-748,1610,-449,-1123,-167,-30,478,263,-152
689,91,-604,229,-1318,-382,-296,36,365,263,-102
-239,105,-410,-865,-1441,273,-286,-77,330,263,-52
-753,777,-280,-953,-1507,534,-635,123,345,263,-2
-717,570,-69,1009,-2340,619,-720,837,151,263,47
509,714,1054,-178,-38,-824,-198,-213,-124,263,97
-290,-4,-602,-454,2,-431,469,68,-288,263,147
-125,169,-170,48,-184,-185,536,51,-141,263,-122
55,1637,839,439,-1599,923,587,-166,-30,263,-72
-445,2050,608,129,-2115,630,1176,-705,-244,263,-22
-487,2109,385,-108,-1343,-583,-105,-237,202,263,27
504,-612,-436,424,585,-667,489,-113,38,263,77
2192,-76,-277,1190,1555,-744,682,410,319,263,127
2942,1176,-131,1643,1197,-1338,406,875,663,263,-143
2605,340,-119,1304,121,-2616,84,855,822,263,-93
2680,-402,147,361,-317,-3259,37,340,943,263,-43
2058,-2467,227,738,-1087,-3023,288,-689,667,263,6
2089,-3302,265,960,-1582,-3137,-396,-834,218,263,56
2246,-2222,371,700,-1201,-3188,-751,-245,-287,263,106
2406,-1000,-132,793,-1567,-2756,-606,25,-1090,263,156
2229,2,-1222,1137,-1552,-1936,-138,-152,-1526,263,-113
1310,381,-2342,1654,-832,-1332,121,-297,-1419,263,-63
193,598,-3642,2300,-36,-1047,196,-407,-1196,263,-13
-488,576,-3716,2476,616,-1009,162,24,-1100,263,36
-110,1085,-2958,1400,2967,81,-251,591,-887,263,86
924,2128,-2372,1229,3848,1132,-333,397,-201,263,136
221,1258,-2947,1799,2309,567,106,-266,490,263,-133
-22,1597,-3010,2242,936,-178,256,-283,1056,263,-83
262,1902,-2481,2551,-201,-1477,-70,-32,1278,263,-33
1326,160,-1306,2970,-1065,-2194,-201,268,1136,263,16
1949,-858,-765,3010,-1455,-1779,20,-111,513,263,66
2163,-916,-645,2347,-312,-1285,266,-388,95,263,116
1834,-639,-605,1750,496,-1038,-93,-191,-143,263,-153
1027,-191,-604,755,-16,-622,-335,141,-275,263,-103
-1452,1839,-155,-533,-1143,-311,-645,177,-202,263,-53
-2066,2309,314,-1572,-1618,258,-962,220,-213,263,-3
782,3578,978,1351,-3927,1358,-1595,-658,-39,263,46
520,1464,-853,204,-695,-168,-4,-14,17,263,96
-386,2125,328,36,-1796,1120,1430,-135,-208,263,146
-904,2125,258,-724,-2112,704,719,290,-87,263,-124
-340,1345,-31,-416,-1343,332,215,412,117,263,-74
480,-256,-599,555,-60,-425,343,138,189,263,-24
1593,-1086,-613,1681,1184,-384,492,-202,67,263,25
3174,1064,83,2051,855,-462,350,-331,252,263,75
3437,1888,230,1780,420,-1374,234,-51,397,263,125
2940,1226,68,945,-20,-2234,230,530,631,263,-144
2438,90,-289,-66,-242,-2946,397,584,756,263,-94
2316,-1134,-460,-607,-1171,-2702,374,150,877,263,-44
2486,-2677,449,574,-1497,-2618,27,-615,719,263,5
2619,-2894,765,185,-746,-2029,-99,-109,306,263,55
2423,-1982,98,10,-729,-2046,-340,301,-376,263,105
2285,-1263,-523,339,-1610,-2103,-694,-81,-959,263,155
1591,-35,-1473,712,-2081,-1428,-292,-350,-1524,263,-114
622,744,-2558,1222,-1715,-750,-141,-459,-1727,263,-64
-630,985,-3897,1561,-1001,-443,-104,-631,-1263,263,-14
-953,716,-3906,1832,318,-815,-179,-146,-1176,263,35
-548,953,-3061,1643,2288,-312,-230,1357,-514,263,85
862,1537,-1683,1579,3567,971,-72,803,-136,263,135
268,1140,-2088,1992,2423,724,66,-210,170,263,-135
-277,1548,-2909,2318,1336,-204,300,-479,667,263,-85
-424,1909,-2600,2495,107,-966,58,-331,929,263,-35
559,885,-1638,2497,-882,-1675,-231,-121,886,263,14
1297,-414,-1245,2772,-1631,-1882,-5,93,584,263,64
2074,-951,-683,2751,-1568,-1565,206,-75,311,263,114
2250,-488,-335,2229,-354,-1035,228,-112,54,263,-155
1594,-398,-543,1245,736,-771,-32,-98,-205,263,-105
83,688,-143,438,104,-619,-200,-117,-185,263,-55
-1444,1592,79,-807,-915,-135,-553,142,-85,263,-5
-1679,1835,400,-1753,-1570,636,-683,-115,21,263,44
342,2357,1785,1050,-2278,1270,-796,-748,221,263,94
64,1136,265,648,-1128,127,627,818,-58,263,144
-824,2449,353,-376,-2117,1368,1048,372,-110,263,-125
-1631,2181,140,-1471,-2428,397,427,110,-79,263,-75
-695,823,-311,-843,-1089,-198,236,42,118,263,-25
605,-459,-389,841,1230,-503,423,-68,-97,263,24
1955,-867,-366,1734,1148,-519,411,140,-178,263,74
1991,-405,-916,3486,-1135,-432,336,339,-173,263,124
1770,59,-2104,3418,-1360,-301,218,-498,-451,263,-146
1037,647,-2792,2684,90,-91,-17,-524,-622,263,-96
873,880,-3282,2116,948,35,-308,223,-592,263,-46
1093,1349,-2559,1796,2189,913,-207,501,-463,263,3
892,969,-2423,1976,2213,1258,-51,29,-260,263,53
733,840,-2751,2155,1373,616,139,-253,159,263,103
869,1755,-3066,1894,673,-835,163,-184,803,263,153
1025,1822,-1962,1528,-182,-1911,-154,179,1039,263,-116
1552,551,-1328,1092,-578,-3226,-226,161,1089,263,-66
2315,-72,-815,775,-758,-3752,-144,16,940,263,-16
2401,-615,-567,87,336,-2870,287,-124,409,263,33
2179,-2287,727,974,-779,-2463,236,-441,433,263,83
2395,-2559,1194,1013,-407,-2503,28,-281,263,263,133
2211,-2241,826,828,-398,-2754,-172,240,18,263,-136
2171,-1625,227,722,-890,-2972,-129,473,-481,263,-86
2003,-371,-828,1306,-1186,-2385,73,129,-882,263,-36
2563,1254,-1956,1467,-467,-1902,-24,-436,-730,263,13
2964,2499,-1296,1693,523,-1381,32,-548,-760,263,63
2444,1319,-821,2064,523,-884,-191,363,-330,263,113
1695,275,-633,1868,106,-588,-210,518,-65,263,-157
1362,160,-411,1423,-211,-577,-13,-2,25,263,-107
546,1117,-100,898,-932,-375,-415,44,140,263,-57
-84,1355,-1,305,-1401,-200,-322,-295,60,263,-7
-40,1275,-104,-218,-1137,-336,-282,-515,31,263,42
-74,764,63,112,-1173,80,-600,-529,29,263,92
245,837,25,678,-1270,-27,-420,98,60,263,142
68,1337,315,206,-1167,-260,449,171,-3,263,-127
-85,2187,348,142,-1955,-83,627,172,-25,263,-77
-666,2081,-222,-223,-1817,-3,1085,-303,-356,263,-27
-6,878,-579,391,-624,-581,337,106,60,263,22
1295,-580,-533,1068,665,-548,299,181,91,263,72
2699,283,-313,2078,701,-228,308,34,53,263,122
3202,1396,-201,2096,554,-1019,211,109,228,263,-147
2968,967,23,1523,609,-2542,-311,392,698,263,-97
2552,-470,-22,1086,479,-3389,-83,49,613,263,-47
2230,-1357,66,857,313,-3600,28,-407,538,263,2
2024,-2415,482,1231,-304,-3155,46,-543,388,263,52
1976,-3012,914,1588,-787,-2948,-16,-92,-49,263,102
2046,-2111,534,1397,-965,-3130,39,240,-529,263,152
2304,-262,-853,1731,-1316,-2323,186,240,-884,263,-118
2002,175,-2160,1998,-1330,-1608,86,-118,-1013,263,-68
1268,484,-3284,2273,-752,-1186,204,-325,-1028,263,-18
527,345,-4012,2249,774,-816,178,445,-895,263,31
1010,747,-3129,1709,2186,245,3,1003,-648,263,81
1457,1522,-2658,1276,3379,1198,-89,559,-362,263,131
1089,1027,-2796,1678,2514,1091,-4,-35,-14,263,-138
945,1423,-2737,2348,659,-382,159,-334,546,263,-88
1217,1704,-2269,2620,-184,-1266,54,-346,687,263,-38
1739,903,-1325,2555,-487,-1966,-13,-502,517,263,11
1953,-307,-778,2557,-971,-1766,63,-121,415,263,61
2015,-819,-486,2423,-983,-1283,-18,-18,310,263,111
1720,-325,-435,1543,59,-796,-66,66,-2,263,-158
599,624,-501,1002,-95,-764,-295,114,-56,263,-108
-274,1326,-232,396,-707,-551,-412,81,-115,263,-58
-815,1571,19,-432,-1126,-221,-549,-70,-138,263,-8
-655,1251,314,-357,-1338,642,-668,-400,28,263,41
524,1526,335,803,-1271,33,-825,-143,183,263,91
-28,569,-410,89,-593,-476,357,95,-43,263,141
-249,1126,217,9,-1096,240,524,344,-135,263,-128
-348,1948,298,9,-1860,398,592,214,-125,263,-78
-440,2157,0,296,-1911,-174,189,-56,37,263,-28
474,819,-335,564,-503,-732,205,-38,81,263,21
1157,-792,-607,1089,1152,-699,452,187,-104,263,71
1710,-1480,-462,2338,752,-467,187,441,-101,263,121
1950,-910,-997,3345,-540,-175,158,-244,-411,263,-149
1544,-143,-2089,3022,-14,-221,275,-685,-719,263,-99
-23,159,-3791,2682,620,-229,-128,-271,-669,263,-49
599,468,-3712,1901,1742,210,-102,292,-565,263,0
1082,1342,-3136,1433,3011,1040,-56,450,-306,263,50
845,1067,-2694,1600,2693,875,23,-203,-11,263,100
644,935,-2942,2073,1274,-40,-39,-105,438,263,150
613,1346,-2843,2322,460,-886,-30,-23,655,263,-119
893,438,-2081,2402,-239,-1620,-94,165,771,263,-69
1387,-902,-1347,2944,-1485,-1969,132,49,596,263,-19
2630,770,-933,2643,-734,-1351,-39,-360,226,263,30
2972,2032,-588,1660,562,-1460,-259,-110,336,263,80
2544,694,-322,1197,456,-2230,-18,344,542,263,130
2458,-533,-255,512,234,-2906,152,483,758,263,-139
2206,-1491,-153,768,-983,-3066,164,-130,722,263,-89
1917,-3061,437,1464,-1893,-2916,-104,-573,386,263,-39
2081,-2313,224,1087,-1520,-2866,-260,-220,-86,263,10
2133,-987,-500,969,-1306,-2736,-69,227,-610,263,60
2361,431,-1380,1415,-1117,-2176,-54,-103,-906,263,110
2841,1580,-1459,1596,558,-1013,44,-574,-879,263,160
2156,1246,-903,1747,1015,-844,-270,-170,-542,263,-110
1222,302,-638,1479,713,-784,-287,247,-182,263,-60
378,489,-436,833,29,-669,-284,216,-30,263,-10
-568,1322,-39,-529,-1758,-157,-481,-112,43,263,39
-751,1400,226,-964,-1853,358,-416,-540,-14,263,89
439,1250,610,772,-2744,1075,-811,-675,249,263,139
246,936,-58,584,-1052,-166,-846,319,175,263,-130
-106,1318,306,150,-1179,25,969,138,-139,263,-80
-549,1934,343,-498,-2194,12,874,60,-239,263,-30
-273,1747,-74,-221,-1686,55,-116,256,49,263,19
370,429,-532,429,-316,-766,177,-175,-161,263,69
1251,-1056,-632,1329,683,-616,364,354,-213,263,119
1874,-942,-553,2921,-25,48,323,0,-369,263,-150
1998,-367,-1157,2988,23,176,253,-361,-569,263,-100
1212,335,-2764,2822,495,128,167,-546,-526,263,-50
582,190,-3674,2761,788,189,-43,-151,-469,263,0
533,496,-3452,2228,1398,182,-145,353,-465,263,49
1063,1094,-2675,1476,3341,862,-178,351,-304,263,99
836,764,-2708,1651,2825,926,36,-112,-89,263,149
948,1443,-2961,1923,1845,328,170,-124,353,263,-121
835,2350,-2673,2048,1015,-394,-231,137,842,263,-71
1013,1851,-1731,1676,-192,-2252,-317,243,1011,263,-21
1770,774,-872,898,-364,-3446,-294,88,1128,263,28
2407,-306,-355,217,-199,-3716,-84,69,1030,263,78
2263,-1177,-299,63,-323,-3606,14,-47,854,263,128
1948,-2521,443,711,-866,-2862,248,-812,377,263,-141
2046,-3326,959,1170,-526,-2241,-74,-389,138,263,-91
2417,-1878,599,915,-391,-2688,-213,83,-154,263,-41
2572,-1412,377,954,-788,-2636,-116,210,-463,263,8
2593,-734,-116,1206,-914,-2416,-8,285,-612,263,58
2459,-96,-523,1761,-698,-1848,-1,128,-583,263,108
2347,369,-1212,2071,-196,-1379,69,83,-521,263,158
2764,1955,-841,2248,277,-893,61,-259,-489,263,-111
2349,1321,-782,2277,413,-622,-52,85,-338,263,-61
1789,481,-686,2144,317,-505,-69,150,-31,263,-11
1302,205,-580,1390,86,-476,-60,8,14,263,38
119,921,-114,706,-541,-382,-227,-72,95,263,88
-515,1086,272,21,-1381,129,-510,-47,71,263,138
-451,1027,210,-358,-1345,300,-447,-212,91,263,-132
-137,792,144,427,-1277,1024,-573,-14,120,263,-82
256,707,-61,570,-1067,-50,-397,167,79,263,-32
-222,907,378,147,-933,-3,684,127,-200,263,17
-501,1482,496,16,-1374,337,521,-110,-106,263,67
-585,1664,198,-60,-1742,84,844,-285,-263,263,117
33,1303,-187,651,-932,-194,-205,475,125,263,-152
870,731,-346,1404,-222,-262,559,33,-70,263,-102
1757,-619,-564,1689,559,-520,120,295,90,263,-52
2281,-744,-431,2287,805,-377,255,-101,-168,263,-2
2565,-121,-734,3216,-111,52,135,-277,-281,263,47
2284,329,-1233,3083,59,113,75,-442,-451,263,97
1596,889,-2304,2966,452,140,-38,-250,-399,263,147
1099,650,-2799,2871,745,283,-92,0,-282,263,-122
888,569,-3004,2723,1124,407,-45,14,-249,263,-72
1128,1124,-2555,2020,2409,845,-11,13,-290,263,-22
1130,1157,-2216,2184,2102,1069,12,-123,-160,263,27
883,801,-2603,2492,1275,467,69,-83,52,263,77
1011,992,-2638,2513,892,-41,26,67,465,263,127
1383,1381,-2408,2436,135,-997,-12,144,644,263,-143
1697,1509,-1866,2004,-312,-1964,-205,269,779,263,-93
2205,773,-750,1357,-231,-2733,-87,178,765,263,-43
2398,121,-198,926,-267,-3125,-20,168,722,263,6
2477,-524,63,370,-94,-3194,85,-98,637,263,56
2061,-1403,-8,614,-537,-2857,248,-343,491,263,106
1876,-2745,804,1111,-1121,-2366,145,-479,269,263,156
2140,-2117,687,856,-755,-2661,-197,77,57,263,-113
2361,-1386,411,822,-849,-2862,-326,356,-530,263,-63
2518,-673,10,1445,-1151,-2115,-113,90,-829,263,-13
2756,-14,-403,1841,-935,-1687,-2,-130,-791,263,36
3020,1194,-585,1821,151,-1327,14,-104,-619,263,86
2975,1665,-412,2022,1068,-844,147,-36,-455,263,136
2266,518,-570,2081,917,-648,-67,421,-136,263,-133
1633,-285,-642,1341,328,-509,-223,340,62,263,-83
817,53,-643,488,-612,-199,-354,-74,123,263,-33
-1204,1247,151,-996,-1065,477,-635,-320,265,263,16
-1483,1611,717,-1582,-1757,681,-603,-410,62,263,66
546,1971,1022,810,-1601,1106,-1407,-151,336,263,116
378,1206,-404,450,-737,782,-366,609,-17,263,-153
-535,1334,796,-718,-681,949,1714,380,-156,263,-103
-937,1711,574,-732,-2140,781,1151,-344,-302,263,-53
