acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
686,-51,-4,273,-205,-218,191,179,35,263,63
361,264,197,114,-190,-464,180,541,3,263,113
312,321,253,-247,-117,-369,-696,274,171,263,-157
252,784,465,-170,-118,444,-897,-63,74,263,-107
970,472,550,130,-128,587,-4,506,81,263,-57
1013,267,367,475,672,343,510,219,-63,263,-7
772,406,214,510,-623,361,-141,-109,-23,263,42
674,494,246,66,96,-63,-189,111,59,263,92
628,430,293,25,-31,-85,-217,-4,25,263,142
532,471,231,65,-97,102,-242,14,89,263,-127
73,410,256,-137,-242,300,141,199,131,263,-77
-204,349,179,-422,-405,552,572,441,-132,263,-27
-64,113,-21,-467,5,6,398,108,-227,263,22
273,-342,-197,51,302,-424,155,181,-182,263,72
286,-430,-183,311,322,-564,167,455,-261,263,122
293,-359,-106,494,324,-509,226,242,-505,263,-147
180,-582,-185,538,208,-291,-117,-145,-688,263,-97
-1158,-23,183,-699,-965,767,-247,-1043,-384,263,-47
-719,-640,-79,-452,-59,284,-841,-2534,-150,263,2
-602,-938,-133,-875,-146,393,-1035,-1420,-13,263,52
-558,-1069,-158,-1648,-455,-171,-7,-265,-110,263,102
-683,-912,-110,-1241,-150,-465,552,28,-321,263,152
-819,-330,283,-375,129,-401,724,458,-294,263,-117
-230,-164,144,-27,86,207,138,181,-118,263,-67
381,-39,48,-399,247,405,-684,683,-93,263,-17
396,79,313,-1146,-477,1049,-138,33,-160,263,32
754,-213,67,324,-447,-387,326,127,199,263,82
585,165,92,536,-267,-788,-32,-70,220,263,132
901,459,13,106,58,-502,-216,740,361,263,-138
256,1087,297,-1377,-789,690,-396,1805,604,263,-88
509,693,418,57,658,1143,-104,910,481,263,-38
898,358,220,506,683,888,397,619,262,263,11
852,359,292,435,533,440,307,-70,123,263,61
618,516,312,-125,-341,419,238,-426,39,263,111
793,653,204,-390,-109,85,-80,772,409,263,-158
533,407,247,-74,-64,-309,-763,1451,341,263,-108
372,457,251,50,-58,-199,-504,783,339,263,-58
378,351,251,48,-278,215,-498,72,381,263,-8
156,20,321,205,-99,484,107,-272,381,263,41
36,-106,222,-570,-61,173,1087,-762,167,263,91
-194,-133,141,-545,-204,-119,610,-1431,-174,263,141
349,-211,58,-184,107,-508,570,-1414,-260,263,-128
394,-204,85,-133,160,-540,368,-363,-379,263,-78
300,-65,193,-117,163,-478,141,447,-488,263,-28
-92,17,379,-35,36,-76,409,625,-459,263,21
-352,8,391,-185,-210,410,360,894,-221,263,71
-265,-311,-147,38,11,456,-226,604,140,263,121
-245,-372,-594,73,89,112,-167,105,33,263,-149
-262,-238,-534,-129,13,-142,96,-493,13,263,-99
-55,17,-8,-81,142,-279,274,-1186,44,263,-49
5,183,305,-211,70,-130,-89,-1567,83,263,0
237,211,358,-257,39,-33,-559,-726,172,263,50
348,90,420,-168,-5,8,-161,-624,20,263,100
543,-21,280,-4,-107,105,213,-202,105,263,150
447,68,288,2,-155,11,200,255,144,263,-119
262,39,171,-23,-146,-153,198,143,71,263,-69
300,-31,-127,-20,-54,-277,-102,-115,11,263,-19
-168,206,192,-329,-57,-144,-808,63,-317,263,30
394,271,539,-30,-287,37,-374,77,-302,263,80
311,175,185,214,743,915,-13,225,-333,263,130
169,329,13,142,-80,-175,361,-244,-349,263,-139
104,315,-42,-38,-15,-68,120,-228,-169,263,-89
135,272,-42,34,-18,6,-87,-63,-47,263,-39
96,246,-42,120,-35,75,-235,64,49,263,10
60,173,-35,87,-21,157,-156,175,225,263,60
-55,100,-34,-29,167,224,107,311,362,263,110
-43,16,-64,-175,-23,26,350,-16,421,263,160
-144,-85,-32,-253,-33,-125,100,-134,129,263,-110
87,-133,-63,-27,105,-277,157,127,11,263,-60
76,-105,-24,-55,106,-264,-192,740,8,263,-10
-13,-66,-1,-66,40,-191,-135,954,6,263,39
-81,-172,12,-152,-34,-135,-11,1314,-6,263,89
-241,-143,-289,-4,-27,-125,-92,1485,-107,263,139
-360,-115,-474,-8,-72,21,-162,374,8,263,-130
-216,-143,-514,-27,-11,95,-2,-171,-57,263,-80
-262,-139,-409,34,70,18,49,-1312,-171,263,-30
-224,23,-105,-108,77,-73,3,-2297,-165,263,19
-9,91,33,-180,89,-148,-308,-2496,-94,263,69
236,146,188,-247,33,-145,2,-1140,-118,263,119
202,74,221,-50,-12,-187,114,-676,-70,263,-150
270,71,128,-13,0,-153,149,-54,39,263,-100
80,42,171,-88,-69,-110,125,94,60,263,-50
27,-74,155,-44,-57,-100,70,-440,-84,263,0
104,-82,-39,-104,-3,-91,-155,-254,-162,263,49
85,180,-94,-215,22,-136,-447,281,-241,263,99
198,314,2,104,484,661,-122,306,-186,263,149
74,273,116,139,-92,132,17,224,-95,263,-121
18,165,97,-6,60,-111,11,-57,144,263,-71
-38,106,-46,18,-30,-20,92,-253,189,263,-21
