acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
-53,-360,126,-26,-4,-22,278,-230,-66,263,13
-57,-330,147,-25,6,-34,225,-139,-81,263,63
-38,-340,149,-13,18,-36,158,-50,-85,263,113
-51,-341,167,-8,-5,-46,-8,62,-78,263,-157
-37,-273,153,13,-33,-40,-58,115,-65,263,-107
-37,-293,159,14,-47,-28,-64,159,-50,263,-57
-32,-290,163,17,-46,-30,-79,172,-31,263,-7
-27,-293,172,16,-49,-15,-11,52,-52,263,42
-24,-264,156,13,-60,14,-5,4,-90,263,92
-12,-214,180,-5,-6,-30,-29,115,-38,263,142
-12,-203,194,-3,28,-73,-32,222,-11,263,-127
1,-208,170,11,-8,-9,-58,200,13,263,-77
-5,-187,121,55,-99,-6,-21,59,-37,263,-27
4,-182,129,3,-39,-14,-68,148,3,263,22
-7,-136,146,71,-181,-80,-39,118,-45,263,72
3,-159,141,-23,4,-89,-57,78,-22,263,122
-8,-151,115,16,-28,-21,-73,14,-60,263,-147
7,-165,114,7,-39,22,-47,-5,-73,263,-97
-9,-131,123,8,-24,14,9,0,-108,263,-47
-6,-124,122,13,-2,-38,-10,51,-83,263,2
-9,-126,117,11,6,-50,-60,81,-32,263,52
-15,-139,100,6,-13,-11,-50,63,-4,263,102
-18,-148,100,17,-31,18,-31,59,-4,263,152
-12,-142,100,20,-28,0,33,48,-17,263,-117
-18,-135,102,18,-34,-9,77,7,-24,263,-67
-14,-147,97,16,-23,-1,98,-52,-33,263,-17
-8,-138,103,27,-15,9,111,-59,-30,263,32
-4,-125,112,21,-10,3,110,-29,-27,263,82
-7,-127,117,12,-14,-12,56,-12,-15,263,132
-4,-132,109,16,-16,-6,-14,8,-9,263,-138
-8,-146,97,14,-26,10,-28,17,-21,263,-88
-9,-143,109,20,-28,11,-13,23,-23,263,-38
2,-129,123,9,-34,25,6,15,-39,263,11
7,-121,76,7,-37,63,-2,-23,-111,263,61
-10,-92,114,49,11,2,-34,130,-95,263,111
-3,-106,148,20,16,-46,-80,175,-32,263,-158
-4,-105,96,42,-7,34,-105,164,7,263,-108
-9,-121,73,47,-43,61,-93,161,26,263,-58
-10,-118,82,43,-47,49,-66,154,19,263,-8
-10,-118,102,42,-35,16,-38,99,12,263,41
-12,-130,101,36,-19,11,-26,25,5,263,91
-8,-134,95,28,-36,23,-10,-24,8,263,141
-4,-111,104,33,-32,20,1,-40,-3,263,-128
-1,-103,107,27,-23,5,18,-32,-1,263,-78
2,-116,111,17,-20,-3,1,-30,5,263,-28
