acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
-1029,-646,2089,-1020,113,3062,1360,24,-153,263,-116
1960,-439,-568,1808,745,138,-2035,17,243,263,-66
1799,-593,-730,1453,1063,-456,209,73,-195,263,-16
-3635,1452,1211,-3422,-1845,892,175,707,-256,263,33
-2413,-63,1455,-2014,-654,1635,870,-54,-395,263,83
1937,-1145,-88,1995,1028,-36,-431,238,512,263,133
1615,-874,-349,1339,1201,-383,-355,7,439,263,-136
-2227,650,738,-1752,-825,400,687,-80,170,263,-86
-2601,-3,1382,-2789,-1423,1668,-876,-523,280,263,-36
1862,-980,-555,1664,1408,495,2,67,-50,263,13
1676,-734,-685,1431,1043,-530,-879,-17,40,263,63
-1516,306,326,-1310,-435,66,738,-256,-6,263,113
-3682,573,1444,-3360,-1575,1945,-614,-493,-306,263,-157
1852,-863,-317,1792,1192,772,991,-445,-109,263,-107
1923,-622,-581,1297,1100,-623,-1515,25,351,263,-57
1067,-472,-636,840,790,-326,455,42,202,263,-7
-5071,1221,1379,-4159,-2107,1647,380,97,-681,263,42
893,-588,171,1215,874,1449,-777,323,-237,263,92
2280,-765,-696,2349,919,204,-708,-155,350,263,142
1422,-726,-535,1043,808,-697,428,767,354,263,-127
-5219,1734,1619,-4225,-2644,1742,837,687,-209,263,-77
57,-384,611,61,590,1041,-431,236,-39,263,-27
2300,-642,-716,2443,715,423,-1977,-552,143,263,22
1522,-720,-571,1391,1043,-494,-15,-261,135,263,72
-3680,1906,1419,-3915,-2453,1728,293,811,-116,263,122
-1406,655,1380,-1501,-445,1558,-1079,452,-122,263,-147
2287,-599,-520,1919,1610,97,681,-377,161,263,-97
1661,-533,-572,1273,1007,-534,-771,47,109,263,-47
-2134,1109,668,-1886,-810,409,505,473,55,263,2
-2871,830,1313,-2827,-1907,1801,-984,-600,-67,263,52
1938,-421,-707,1797,1398,618,977,-61,-119,263,102
1724,-611,-675,1675,727,-714,-1535,158,257,263,152
1620,-721,-666,-162,118,-264,653,152,34,263,-117
-3714,1598,1430,-3299,-2403,1522,-7,-443,-340,263,-67
1807,-289,-352,1427,1932,2155,-654,743,40,263,-17
1843,-386,-604,1322,1005,-686,-555,-90,164,263,32
1550,-741,-590,1376,1028,-937,245,62,167,263,82
-3704,2353,1511,-2904,-2433,949,61,79,-326,263,132
1435,116,-68,1004,230,1100,904,83,160,263,-138
1835,-427,-794,2117,467,307,-655,-177,69,263,-88
1685,-813,-611,1539,1071,-420,446,22,-57,263,-38
-388,211,209,-457,-82,-107,-62,502,-252,263,11
-684,540,986,-1080,-335,1522,-1197,778,-68,263,61
2070,-236,-737,1951,1199,186,1700,61,-280,263,111
1537,-652,-511,1414,1137,-589,-1002,450,238,263,-158
1278,-626,-524,1376,915,-485,695,470,133,263,-108
-4362,1546,1432,-2672,-1355,1973,-290,-174,-181,263,-58
2144,-461,-467,1824,1162,616,835,-662,85,263,-8
1624,-629,-820,1726,718,-486,399,-776,-48,263,41
1656,-777,-569,1456,1288,-484,-302,-29,6,263,91
-3557,1206,1015,-3226,-1839,1176,239,62,-476,263,141
1089,-224,-2,945,680,1043,-665,-26,-14,263,-128
1977,-483,-567,1884,1117,-193,1147,-595,26,263,-78
1621,-728,-550,1454,969,-596,4,-271,133,263,-28
-1348,693,558,-822,-609,484,1035,580,-205,263,21
-3206,1050,1323,-336,-38,1331,-8,262,-107,263,71
1936,-441,-589,1876,1253,254,932,335,16,263,121
1511,-683,-640,1416,1088,-429,-1035,-225,77,263,-149
1053,-508,-496,1050,770,-458,-12,679,199,263,-99
-4395,1444,1257,-3746,-1863,1275,-589,-386,-274,263,-49
2191,-465,-583,2004,1025,507,294,-667,-156,263,0
1644,-488,-574,1460,1092,-302,-341,-93,162,263,50
1560,-609,-714,1461,1133,-416,345,374,159,263,100
-4077,1337,1188,-3932,-1824,1347,-16,-530,-541,263,150
-380,755,605,1577,1108,623,613,-289,-151,263,-119
1773,-601,-534,1592,1022,-538,636,-774,51,263,-69
1593,-764,-665,1423,1199,-439,-298,-191,183,263,-19
-3306,1530,998,-2827,-1366,1119,302,251,-173,263,30
-1949,1082,1053,-2383,-999,1703,-66,182,-39,263,80
1976,-508,-544,1734,1411,-31,1082,-143,-219,263,130
1590,-665,-636,1454,820,-620,-1393,68,161,263,-139
-810,459,141,-333,-24,18,561,741,-119,263,-89
-3942,1569,1368,-3669,-1910,1737,-1193,224,-117,263,-39
1729,-681,-474,1748,1770,282,1262,56,-76,263,10
1551,-626,-668,1409,934,-417,-1641,-17,193,263,60
1454,-636,-553,1451,1060,-339,705,413,212,263,110
-4752,2065,1440,-4301,-2118,1402,-341,-367,-8,263,160
626,-91,-186,279,301,1181,1188,-501,-128,263,-110
1592,-722,-601,1630,1027,-377,-2017,-167,315,263,-60
1681,-861,-611,1583,1264,-443,-247,-266,109,263,-10
-4046,1536,1233,-3347,-1714,925,-388,280,-133,263,39
-1739,633,591,-2264,-806,1687,-21,-269,10,263,89
2131,-490,-627,1633,1162,-366,-500,-369,30,263,139
1522,-648,-651,1490,1192,-548,-145,30,36,263,-130
-2080,836,683,-1521,-845,526,861,110,-97,263,-80
-3073,1056,1075,-3345,-1291,1822,-1193,978,-110,263,-30
2094,-469,-261,1729,1297,428,1761,224,-168,263,19
1478,-721,-519,1389,975,-555,-1746,40,141,263,69
31,-245,-321,382,440,-107,157,-223,98,263,119
-4270,1173,1229,-3720,-1830,1802,-1351,501,-191,263,-150
1364,-545,-361,1236,1065,683,1790,-314,-387,263,-100
1869,-423,-469,1293,1131,-713,-1060,416,263,263,-50
1232,-604,-599,1349,958,-282,775,-40,70,263,0
-4442,1076,1263,-3628,-1609,1538,-579,-533,-462,263,49
557,-191,-256,217,680,1449,307,-604,-300,263,99
1863,-223,-484,1562,1411,-567,1489,-83,95,263,149
1570,-903,-705,1343,1093,-665,-1132,-242,665,263,-121
-3317,1291,849,-2850,-2166,1071,23,-293,268,263,-71
-1405,1127,1652,-2200,-1168,2295,-1108,529,30,263,-21
1818,-611,-802,1512,1587,-739,1098,215,-276,263,28
1286,-1163,-989,1268,1471,-722,-1336,242,-66,263,78
-863,639,304,-420,-217,374,-106,-325,65,263,128
-3221,2181,1491,-3225,-2508,1678,-1239,83,-138,263,-141
2185,-398,-513,1648,1082,938,1488,-45,-206,263,-91
1331,-810,-799,1080,1400,-939,-2366,542,23,263,-41
1055,-438,-492,1252,918,-275,684,181,93,263,8
-4204,1940,1111,-3919,-1963,1434,997,-22,-208,263,58
1052,-154,-378,638,926,1515,1108,-646,-417,263,108
1753,-702,-710,1725,1532,-644,-494,-259,-24,263,158
1605,-895,-947,1414,1310,-301,-869,399,88,263,-111
-4200,1528,1054,-3441,-1795,1357,968,507,-104,263,-61
577,165,-297,-95,523,1107,1050,-354,-189,263,-11
1928,-603,-562,2251,1524,-182,-798,-80,412,263,38
1551,-937,-923,1177,1330,-800,-784,590,728,263,88
-1252,447,43,-3638,-2152,1430,1305,338,272,263,138
-568,567,434,-1246,-216,1457,-1141,36,226,263,-132
2317,-719,-468,2300,1376,1,893,-261,-103,263,-82
1682,-635,-785,1476,1129,-645,-1911,556,170,263,-32
961,-77,-354,-1980,-983,906,1127,353,-210,263,17
-2401,1251,809,-2948,-1402,1772,-937,-584,-297,263,67
1366,-524,-154,1402,1022,389,2067,-557,-118,263,117
1558,-1226,-840,1298,1615,-639,-2302,54,396,263,-152
1694,-577,-955,1317,1150,-771,-757,47,247,263,-102
-3599,1784,788,-4060,-2244,2436,1302,-179,-238,263,-52
1044,-337,86,534,1142,1409,448,187,-550,263,-2
1467,-1059,-1114,1203,1674,-887,873,128,-301,263,47
1015,-1316,-1448,246,1742,-2092,-1230,-98,-116,263,97
-1372,810,90,-3221,-1712,2148,352,287,71,263,147
-601,611,436,-759,269,3033,-1359,969,-264,263,-122
1515,-877,-663,1043,1882,-1278,864,97,143,263,-72
1522,-1067,-1291,1103,1484,-1093,-343,-93,242,263,-22
-151,138,-539,485,138,-201,82,-137,110,263,27
-3797,1923,1590,-2052,-282,2862,-163,-278,-120,263,77
1671,-478,-842,1191,1553,-871,1033,-810,-89,263,127
1268,-1296,-1325,781,1851,-1590,-570,-179,92,263,-143
848,-846,-862,925,1375,-659,-996,196,364,263,-93
-3418,1767,1002,-3621,-915,2575,460,-572,11,263,-43
1498,-480,-728,770,1269,722,504,-731,43,263,6
1445,-1045,-1169,920,1430,-1539,175,-65,-55,263,56
1417,-985,-1079,1313,1475,-884,-194,45,-59,263,106
-3387,1429,580,-2336,-1329,1436,1220,154,-403,263,156
-2103,1056,832,411,356,1784,-1432,864,-206,263,-113
1488,-773,-641,1198,1180,-1669,1825,-294,22,263,-63
1545,-1232,-1004,958,1494,-1106,-1232,181,376,263,-13
-378,120,-19,269,625,76,-8,522,93,263,36
-4304,1587,1220,-1209,-447,2505,-1137,-45,-209,263,86
2011,-320,-762,1844,968,-574,1798,-587,-93,263,136
1578,-731,-1018,1160,1426,-1593,-1798,461,349,263,-133
1333,-613,-656,1006,1482,-676,-97,419,169,263,-83
-4410,1538,1380,-3346,-2087,1973,-769,166,-415,263,-33
-153,4,726,1881,662,1124,1488,583,-122,263,16
1689,-504,-656,1240,1420,-1280,-1382,222,476,263,66
1544,-1016,-556,1320,1217,-524,-409,558,447,263,116
-4421,1737,1039,-2770,-2319,1661,1009,196,22,263,-153
-1649,257,954,1009,871,962,-234,-26,67,263,-103
1722,-455,-861,1176,1086,-862,1629,-912,-142,263,-53
1514,-1155,-810,1401,1494,-542,444,-766,-203,263,-3
-3250,1687,847,-2316,-1469,883,775,441,-655,263,46
-2497,1110,1076,-3018,-1084,2024,-1331,384,-443,263,96
2070,-149,-569,1316,1521,-1068,1599,188,-162,263,146
1534,-937,-824,1311,1329,-905,-973,162,640,263,-124
-324,173,-143,-81,-166,216,617,1178,-51,263,-74
-5167,626,1453,-3543,-1977,1896,-939,-109,-511,263,-24
1715,-782,-523,1541,1595,-596,2081,-1136,-249,263,25
1462,-1017,-618,1388,1247,-1191,-1635,-23,420,263,75
1653,-651,-773,1148,940,-391,702,-580,131,263,125
-5060,1575,1150,-4549,-1748,1799,-106,-885,-586,263,-144
824,-173,277,-184,888,1447,390,243,-267,263,-94
1668,-216,-619,1231,1277,-1188,-137,60,-47,263,-44
1667,-929,-1047,1537,1077,-883,852,322,278,263,5
-3953,1286,1100,-3005,-2553,1685,138,83,-251,263,55
-1837,584,1068,-2919,-512,1541,-233,342,231,263,105
1899,-914,-787,1115,1420,-776,1222,-889,-254,263,155
1464,-801,-794,1452,1437,-761,280,-598,-185,263,-114
-748,669,247,300,235,-275,282,-374,154,263,-64
-4118,2298,1196,-4010,-1926,2224,-885,-88,-83,263,-14
1867,-505,-764,1634,1032,750,1721,-502,58,263,35
1471,-867,-916,1305,1404,-761,-2311,-6,94,263,85
1196,-477,-500,1439,1053,-613,145,56,59,263,135
-4533,2363,1106,-4411,-2397,1631,214,-64,-36,263,-135
649,-155,-254,-42,298,1159,953,-260,534,263,-85
1720,-718,-907,1373,1140,-430,556,-820,-158,263,-35
1530,-997,-989,1551,1317,-648,443,-3,-340,263,14
-4004,2662,1116,-3932,-2223,1505,-84,1046,-101,263,64
-554,640,-17,-1499,-211,1395,-209,611,494,263,114
1661,-669,-1019,2028,1233,-134,1697,-674,-141,263,-155
1440,-830,-913,1414,1384,-709,-1530,306,446,263,-105
-2877,1702,501,-1544,-1012,668,363,625,187,263,-55
-2737,1694,880,-3584,-1547,2138,-1169,235,-104,263,-5
