acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
3107,1816,255,2891,-1620,-405,141,-595,-20,263,-116
3831,835,-264,3788,-1444,-1057,-270,-613,-191,263,-66
2639,-2849,-783,2686,1918,-546,-283,-341,-77,263,-16
2295,-4837,-572,1390,5611,-484,189,54,8,263,33
2594,-2267,-270,2178,1643,-361,171,69,-37,263,83
1310,1,-706,1018,206,-560,164,94,-146,263,133
708,1081,-318,592,-837,-408,-276,-103,-193,263,-136
114,1232,-54,23,-835,515,-928,-162,-234,263,-86
-555,1518,705,-601,-1158,1300,-864,170,-105,263,-36
-419,1261,772,162,-1524,1391,-1382,1088,91,263,13
274,-81,3238,691,-861,2320,-2252,944,56,263,63
-344,557,1404,133,-465,1211,592,-148,112,263,113
-593,1725,1303,91,-1272,1204,628,-1279,64,263,-157
-523,1958,610,266,-1943,823,525,-584,-38,263,-107
394,1143,-76,423,-1614,424,97,-483,15,263,-57
566,5,-665,403,-672,-354,606,-206,-116,263,-7
1823,-4661,-1275,683,3522,-979,667,-137,-43,263,42
2635,-3406,-458,1679,4872,-171,-121,44,-44,263,92
3475,1812,-121,3013,-2042,-1149,481,-119,-235,263,142
3601,-197,-571,3646,126,-668,-72,-108,-167,263,-127
2458,-3748,-738,2349,4103,-203,313,177,-5,263,-77
2268,-4278,-677,2029,4124,-247,89,603,2,263,-27
2348,-1697,-629,2216,1317,-789,71,481,41,263,22
689,510,-851,736,33,-958,-272,388,16,263,72
-34,1412,-301,-34,-1745,-367,-501,75,-123,263,122
-891,1251,225,-462,-1536,565,-682,-267,-136,263,-147
-1340,1329,872,-420,-1478,1234,-854,548,-48,263,-97
611,1612,4822,1474,-2301,5273,-1192,514,77,263,-47
-1081,1946,2041,-874,-1930,2435,1621,-1098,-106,263,2
-1754,2319,1128,-1793,-2479,1531,885,-445,-33,263,52
-760,1911,-254,-930,-2016,-177,966,-365,-220,263,102
-48,474,-885,-241,1707,-672,471,-143,-118,263,152
300,-6685,-664,-621,6306,-21,471,142,-105,263,-117
1719,-2306,-671,1743,2414,-187,-592,86,-76,263,-67
2276,1775,-694,2622,-1699,-1258,163,229,-48,263,-17
4073,3463,-1125,4019,-2497,-2161,-53,271,37,263,32
2549,286,-183,2281,929,-431,51,25,-63,263,82
603,-3880,-346,251,4826,43,504,29,-86,263,132
329,-4864,-648,287,3870,-239,-460,447,171,263,-138
716,-1237,-515,1198,1383,-800,-288,348,-30,263,-88
357,782,-583,41,-1428,-531,-621,486,63,263,-38
-707,2290,365,-544,-2016,282,-346,-57,-17,263,11
-1054,1435,969,-958,-1731,866,-179,-214,-79,263,61
-575,1779,1418,387,-3066,1556,-2072,622,198,263,111
612,1691,3870,701,-991,3282,-280,-1532,-291,263,-158
-1228,1724,1667,-609,-1353,1686,2682,-194,59,263,-108
-785,1662,339,-190,-1489,300,-1139,-626,-186,263,-58
548,1347,-328,922,-899,-127,1171,381,-241,263,-8
875,1114,-346,1347,-295,-859,320,275,191,263,41
989,-624,-728,659,2810,-702,573,183,156,263,91
749,-6844,-147,-66,6579,403,480,223,2,263,141
1421,-1851,-202,1867,2283,-310,126,-127,-259,263,-128
1993,2442,-382,2503,-1492,-1515,353,-115,-316,263,-78
4295,3477,-1330,4276,-2057,-2309,-31,-115,-156,263,-28
1613,-905,-143,1420,1816,59,-134,-277,-73,263,21
590,-6025,-511,-24,5880,332,105,-614,-18,263,71
726,-3543,-516,976,2842,-606,-779,-140,42,263,121
473,81,-423,1043,539,-801,-161,370,133,263,-149
159,1590,-668,-24,-1856,-159,-509,635,122,263,-99
-555,1861,103,-745,-1776,426,-2,-174,-15,263,-49
-1012,1846,281,-1244,-1920,541,-98,-222,-71,263,0
1044,1732,6534,945,-2246,6605,-2640,126,-56,263,50
-164,1763,1113,179,-1685,1364,2687,167,-113,263,100
-820,2196,226,-489,-1835,885,542,-236,339,263,150
70,1829,-86,73,-1981,-225,-474,-416,46,263,-119
905,1407,-208,1081,-872,-421,146,37,58,263,-69
792,-68,-406,1095,707,-813,66,578,-34,263,-19
856,-3821,-931,-15,5742,-227,302,402,-98,263,30
1889,-2907,-417,1468,3417,-58,-149,418,-77,263,80
2677,1422,-433,3026,-138,-383,192,163,-28,263,130
4212,3058,-1177,4471,-1749,-1244,24,-77,-13,263,-139
2979,750,-336,3039,349,-167,-22,-393,-70,263,-89
943,-6378,30,190,5924,48,285,-489,-93,263,-39
